Type,ECS mean,ECS std,NET mean,NET std,PL mean,PL std,WV+LR mean,WV+LR std,ALB mean,ALB std,CLD mean,CLD std,ERR mean,ERR std,TCR mean,TCR std
simple,3.279999999999999,0.7358290864354606,-1.0827586206896553,0.28815790006428443,-3.2041379310344826,0.045238829827239396,1.243103448275862,0.08880570478280347,0.41,0.09859730509211989,0.4068965517241379,0.3347824821355317,0.059310344827586195,0.1415710582429181,nan,nan
variant,3.2800000000000016,0.7225698186730075,-1.0827586206896556,0.28314607600445085,-3.2041379310344844,0.0444520075478006,1.2431034482758623,0.08726113991825649,0.41000000000000014,0.09688243853532862,0.4068965517241382,0.3289597339186569,0.05931034482758624,0.1391087650497775,nan,nan
model,3.3072592592592605,0.7323796117776626,-1.0566666666666673,0.2813184168866066,-3.2072093023255825,0.04549430059177688,1.2517829457364344,0.0772737970411193,0.41790697674418625,0.09289215568057378,0.41573643410852745,0.3093147595177145,0.06217054263565892,0.1390887354948848,nan,nan
institute,3.241947368421052,0.7364501607951349,-1.095105263157895,0.2741143431675801,-3.2022105263157896,0.04466669422967405,1.2641052631578946,0.07606084457565751,0.4322105263157894,0.09168801732383368,0.36236842105263156,0.2810022870343932,0.046105263157894726,0.12822098306679355,nan,nan
country,3.3452609427609437,0.7750045178035715,-1.0518181818181815,0.2684048037187867,-3.203737373737373,0.04654209618916902,1.2554882154882152,0.08324549327553757,0.4205723905723905,0.07615336938505043,0.4318855218855217,0.26415830441306243,0.041548821548821536,0.12901449220513153,nan,nan
code,3.2807966101694905,0.7865182075679918,-1.068822033898305,0.30050559461657816,-3.2169067796610156,0.04737883516753866,1.250754237288135,0.07419756454049085,0.4045084745762712,0.08257002634258664,0.43537288135593216,0.31148949968999196,0.05465254237288135,0.15392810764783932,nan,nan
