Model,Weight fraction,Weight
GEOS-5,1/3,0.3333333333333333
GFDL-HiRAM,1/9,0.1111111111111111
GFDL-ESM4,1/18,0.05555555555555555
GFDL-AM4,1/9,0.1111111111111111
GFDL-CM3,1/18,0.05555555555555555
SAM0-UNICON,1/6,0.16666666666666666
TaiESM1-TIMCOM,1/12,0.08333333333333333
TaiESM1-TIMCOM2,1/12,0.08333333333333333
