Type,ECS mean,ECS std,NET mean,NET std,PL mean,PL std,WV+LR mean,WV+LR std,ALB mean,ALB std,CLD mean,CLD std,ERR mean,ERR std,TCR mean,TCR std
simple,3.7859523809523816,1.0810700650198382,-1.032448979591837,0.3567826755197348,-3.218979591836735,0.05021806190502173,1.2504081632653057,0.08974406163440263,0.39204081632653065,0.07700053008033815,0.49224489795918375,0.37662019609793035,0.053265306122448994,0.13808795136768873,2.012826086956521,0.4118018026158715
variant,3.785952380952378,1.068122651071695,-1.0324489795918363,0.3531232692917379,-3.218979591836732,0.049702991244078135,1.2504081632653048,0.08882358538764464,0.39204081632653026,0.07621076017650359,0.49224489795918336,0.372757322741811,0.053265306122448945,0.13667162724682116,2.0128260869565233,0.4073011013311378
model,3.7423437500000007,1.0552782643309164,-1.0504504504504513,0.3581286129321393,-3.2219369369369395,0.04564192384463286,1.2491891891891898,0.08200620867656763,0.38927927927927963,0.07574211476470746,0.48054054054054074,0.3537236612620717,0.05430180180180186,0.12648828915773516,2.0181904761904765,0.4252736507291924
institute,3.8212499999999996,1.019038132396319,-1.0452564102564104,0.37156106706902525,-3.2184294871794883,0.04896134165502505,1.244807692307693,0.08340103265859909,0.388301282051282,0.08059473799962465,0.4860576923076922,0.36945581499781566,0.056025641025641046,0.12207175006139064,2.0516358024691366,0.43318955244536184
country,3.8743154761904752,1.0735288141267971,-1.0566666666666669,0.3765560309495049,-3.2243055555555555,0.042883122453455054,1.2598055555555563,0.08881451315474057,0.39205555555555566,0.07547771725793738,0.4799444444444447,0.3416804830088131,0.03761111111111111,0.10959199022276975,2.033261111111112,0.44944456911823577
code,3.726620370370369,1.1461707574633284,-1.143388888888889,0.41767449964574205,-3.226229166666667,0.03649794871519031,1.259166666666666,0.09338688939626974,0.39622916666666674,0.08063301801216423,0.40735416666666663,0.3684351474809448,0.022722222222222224,0.12503146517557337,1.964879365079365,0.4358657701336503
