Type,ECS mean,ECS std,ERF_2x mean,ERF_2x std,PL mean,PL std,PL_hs mean,PL_hs std,LR mean,LR std,LR_hs mean,LR_hs std,WV mean,WV std,RH mean,RH std,ALB mean,ALB std,CLD mean,CLD std,CLD_SW mean,CLD_SW std,CLD_LW mean,CLD_LW std,NET mean,NET std,ERR mean,ERR std
simple,3.8599999999999994,1.1235041337091458,3.515925925925927,0.3699299232937884,-3.2825925925925925,0.049814470603244156,-1.908148148148148,0.02646289667222579,-0.5003703703703704,0.18345994074334013,-0.046666666666666676,0.06214127824190987,1.834074074074074,0.14796723283991622,0.006296296296296293,0.06264356730117246,0.45370370370370366,0.08766843779693455,0.4174074074074074,0.3703905692497769,0.09851851851851855,0.4961831524726739,0.3185185185185186,0.2595366241193317,-1.0000000000000002,0.34525353003264136,0.07962962962962962,0.13022115748813579
variant,3.8600000000000017,1.1025022045833341,3.515925925925928,0.36301473553663816,-3.2825925925925947,0.048883276894507874,-1.9081481481481497,0.02596821947104902,-0.5003703703703707,0.1800304805773175,-0.04666666666666669,0.06097965659560999,1.8340740740740755,0.1452012462771548,0.0062962962962963024,0.06147255624640777,0.45370370370370394,0.08602963090522933,0.4174074074074076,0.36346677052856385,0.09851851851851857,0.48690788317103856,0.3185185185185187,0.254685044475106,-1.0000000000000004,0.33879962394486984,0.07962962962962966,0.12778690251907035
model,3.806956521739133,1.1394179856118334,3.511956521739132,0.37725910577777916,-3.2823913043478283,0.049527540981659665,-1.908695652173914,0.025843062785588813,-0.49913043478260893,0.16710873948676191,-0.04608695652173915,0.058401841129017334,1.8280434782608708,0.1447729791810101,0.0019565217391304345,0.06243673546661285,0.45282608695652204,0.08266388316756156,0.4080434782608698,0.3559898604150637,0.10239130434782615,0.47547315007908164,0.3050000000000001,0.2606075677101993,-1.0180434782608703,0.34842889340841815,0.07608695652173915,0.11822010166872356
institute,3.7701315789473706,1.133551119527354,3.5213157894736864,0.3746167940472925,-3.279210526315792,0.0527347672666748,-1.906973684210527,0.026755212814372844,-0.5048684210526319,0.17357308047600006,-0.047894736842105295,0.06072621452218068,1.8367105263157903,0.14211178103960734,0.00868421052631579,0.06308603367964549,0.4490789473684213,0.08797693524858702,0.39302631578947383,0.3692988368332978,0.08236842105263162,0.47647518414712153,0.3103947368421054,0.2573163156274562,-1.0313157894736849,0.3507936194329981,0.07565789473684215,0.12189658609178124
country,3.7611969696969694,1.2170023744367784,3.4882803030303036,0.36679756233274163,-3.286840909090909,0.048769142247298,-1.9091742424242428,0.0278143183674211,-0.47567424242424255,0.18775467537301455,-0.04296212121212121,0.06726202779711037,1.8212196969696972,0.14492562431028663,0.010636363636363631,0.07167300247475723,0.45550000000000007,0.07500136362396717,0.41040909090909095,0.33419144745747015,0.1335757575757576,0.46565896809126317,0.2765378787878787,0.30431029581819113,-1.027590909090909,0.32865812933496935,0.049833333333333334,0.10254844876171625
code,3.841790123456789,1.2643648209264131,3.4628703703703696,0.3866891378989053,-3.2810185185185174,0.04092917282243394,-1.9104629629629624,0.02407745702726645,-0.48138888888888876,0.19532242258745433,-0.039938271604938264,0.06889334137564776,1.8333641975308634,0.15573831550300668,0.02175925925925925,0.06368075329479106,0.47086419753086406,0.07589706367007064,0.37592592592592583,0.34415858309142994,0.06256172839506172,0.4130150124518392,0.3132407407407407,0.2823681666726413,-1.0086419753086417,0.3485968455210248,0.0725,0.11432133345946686
